"taxa_id" "W" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6"
"1" "76775" 88 FALSE FALSE FALSE FALSE
"2" "76777" 127 FALSE FALSE FALSE FALSE
"3" "4932" 108 FALSE FALSE FALSE FALSE
"4" "169388" Inf TRUE TRUE TRUE TRUE
"5" "231269" 138 FALSE FALSE FALSE FALSE
"6" "215243" 98 FALSE FALSE FALSE FALSE
"7" "5529" 110 FALSE FALSE FALSE FALSE
"8" "31870" 135 FALSE FALSE FALSE FALSE
"9" "44092" 127 FALSE FALSE FALSE FALSE
"10" "49012" 164 FALSE FALSE FALSE FALSE
"11" "76773" 111 FALSE FALSE FALSE FALSE
"12" "121627" 141 FALSE FALSE FALSE FALSE
"13" "1441469" 182 FALSE FALSE FALSE FALSE
"14" "41413" 0 FALSE FALSE FALSE FALSE
"15" "395010" 114 FALSE FALSE FALSE FALSE
"16" "5480" 112 FALSE FALSE FALSE FALSE
"17" "5579" 428 FALSE FALSE TRUE TRUE
"18" "5580" 286 FALSE FALSE FALSE FALSE
"19" "559561" 105 FALSE FALSE FALSE FALSE
"20" "1042127" 135 FALSE FALSE FALSE FALSE
"21" "46634" Inf TRUE TRUE TRUE TRUE
"22" "64499" Inf TRUE TRUE TRUE TRUE
"23" "1047171" 241 FALSE FALSE FALSE FALSE
"24" "29002" 118 FALSE FALSE FALSE FALSE
"25" "438356" 113 FALSE FALSE FALSE FALSE
"26" "122368" 191 FALSE FALSE FALSE FALSE
"27" "1873960" 145 FALSE FALSE FALSE FALSE
"28" "1341201" Inf TRUE TRUE TRUE TRUE
"29" "113226" Inf TRUE TRUE TRUE TRUE
"30" "112497" Inf TRUE TRUE TRUE TRUE
"31" "112498" 155 FALSE FALSE FALSE FALSE
"32" "85929" 136 FALSE FALSE FALSE FALSE
"33" "5499" 416 FALSE FALSE TRUE TRUE
"34" "245834" 98 FALSE FALSE FALSE FALSE
"35" "1709381" 127 FALSE FALSE FALSE FALSE
"36" "91943" Inf TRUE TRUE TRUE TRUE
"37" "112489" 128 FALSE FALSE FALSE FALSE
"38" "286617" 436 FALSE FALSE TRUE TRUE
"39" "5498" 426 FALSE FALSE TRUE TRUE
"40" "92950" Inf TRUE TRUE TRUE TRUE
"41" "1707700" 421 FALSE FALSE TRUE TRUE
"42" "29917" Inf TRUE TRUE TRUE TRUE
"43" "1116209" Inf TRUE TRUE TRUE TRUE
"44" "29918" Inf TRUE TRUE TRUE TRUE
"45" "40997" Inf TRUE TRUE TRUE TRUE
"46" "5598" 114 FALSE FALSE FALSE FALSE
"47" "5599" 118 FALSE FALSE FALSE FALSE
"48" "156630" 144 FALSE FALSE FALSE FALSE
"49" "48100" 121 FALSE FALSE FALSE FALSE
"50" "45303" Inf TRUE TRUE TRUE TRUE
"51" "29001" 446 FALSE TRUE TRUE TRUE
"52" "33194" 126 FALSE FALSE FALSE FALSE
"53" "5016" 149 FALSE FALSE FALSE FALSE
"54" "45130" 142 FALSE FALSE FALSE FALSE
"55" "101162" 107 FALSE FALSE FALSE FALSE
"56" "5017" 348 FALSE FALSE FALSE TRUE
"57" "40125" 453 FALSE TRUE TRUE TRUE
"58" "74410" Inf TRUE TRUE TRUE TRUE
"59" "5027" 252 FALSE FALSE FALSE FALSE
"60" "53485" 137 FALSE FALSE FALSE FALSE
"61" "45151" 109 FALSE FALSE FALSE FALSE
"62" "93612" 143 FALSE FALSE FALSE FALSE
"63" "183478" 434 FALSE FALSE TRUE TRUE
"64" "235069" Inf TRUE TRUE TRUE TRUE
"65" "5503" Inf TRUE TRUE TRUE TRUE
"66" "95742" Inf TRUE TRUE TRUE TRUE
"67" "220672" 192 FALSE FALSE FALSE FALSE
"68" "5022" 154 FALSE FALSE FALSE FALSE
"69" "100019" 102 FALSE FALSE FALSE FALSE
"70" "749589" Inf TRUE TRUE TRUE TRUE
"71" "301207" 113 FALSE FALSE FALSE FALSE
"72" "749586" Inf TRUE TRUE TRUE TRUE
"73" "5454" 428 FALSE FALSE TRUE TRUE
"74" "1707701" Inf TRUE TRUE TRUE TRUE
"75" "1828523" Inf TRUE TRUE TRUE TRUE
"76" "137527" Inf TRUE TRUE TRUE TRUE
"77" "13684" 132 FALSE FALSE FALSE FALSE
"78" "1351752" Inf TRUE TRUE TRUE TRUE
"79" "1077358" Inf TRUE TRUE TRUE TRUE
"80" "390896" 131 FALSE FALSE FALSE FALSE
"81" "1460663" 198 FALSE FALSE FALSE FALSE
"82" "565426" Inf TRUE TRUE TRUE TRUE
"83" "548649" 94 FALSE FALSE FALSE FALSE
"84" "1450171" 97 FALSE FALSE FALSE FALSE
"85" "318751" 128 FALSE FALSE FALSE FALSE
"86" "673940" 87 FALSE FALSE FALSE FALSE
"87" "1547544" Inf TRUE TRUE TRUE TRUE
"88" "224420" 427 FALSE FALSE TRUE TRUE
"89" "665115" Inf TRUE TRUE TRUE TRUE
"90" "50376" 167 FALSE FALSE FALSE FALSE
"91" "253628" 173 FALSE FALSE FALSE FALSE
"92" "574789" 0 FALSE FALSE FALSE FALSE
"93" "45133" 117 FALSE FALSE FALSE FALSE
"94" "236234" 163 FALSE FALSE FALSE FALSE
"95" "120395" Inf TRUE TRUE TRUE TRUE
"96" "462254" 207 FALSE FALSE FALSE FALSE
"97" "1986016" Inf TRUE TRUE TRUE TRUE
"98" "286661" 118 FALSE FALSE FALSE FALSE
"99" "470096" 130 FALSE FALSE FALSE FALSE
"100" "1341166" 0 FALSE FALSE FALSE FALSE
"101" "61459" 123 FALSE FALSE FALSE FALSE
"102" "2488734" Inf TRUE TRUE TRUE TRUE
"103" "543791" Inf TRUE TRUE TRUE TRUE
"104" "5506" 171 FALSE FALSE FALSE FALSE
"105" "5127" 111 FALSE FALSE FALSE FALSE
"106" "117187" 174 FALSE FALSE FALSE FALSE
"107" "948311" 150 FALSE FALSE FALSE FALSE
"108" "42677" Inf TRUE TRUE TRUE TRUE
"109" "56646" 143 FALSE FALSE FALSE FALSE
"110" "5518" 116 FALSE FALSE FALSE FALSE
"111" "5516" 173 FALSE FALSE FALSE FALSE
"112" "101028" 128 FALSE FALSE FALSE FALSE
"113" "5507" 210 FALSE FALSE FALSE FALSE
"114" "2502994" 114 FALSE FALSE FALSE FALSE
"115" "2747968" 161 FALSE FALSE FALSE FALSE
"116" "48486" Inf TRUE TRUE TRUE TRUE
"117" "29916" Inf TRUE TRUE TRUE TRUE
"118" "40199" Inf TRUE TRUE TRUE TRUE
"119" "29855" 0 FALSE FALSE FALSE FALSE
"120" "64609" Inf TRUE TRUE TRUE TRUE
"121" "182845" Inf TRUE TRUE TRUE TRUE
