"taxa_id" "W" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6"
"1" "76775" 293 FALSE FALSE FALSE FALSE
"2" "76777" 1313 TRUE TRUE TRUE TRUE
"3" "4932" 1240 TRUE TRUE TRUE TRUE
"4" "169388" 1328 TRUE TRUE TRUE TRUE
"5" "231269" 1265 TRUE TRUE TRUE TRUE
"6" "215243" 166 FALSE FALSE FALSE FALSE
"7" "5529" 1267 TRUE TRUE TRUE TRUE
"8" "31870" 1308 TRUE TRUE TRUE TRUE
"9" "44092" 1280 TRUE TRUE TRUE TRUE
"10" "49012" 1300 TRUE TRUE TRUE TRUE
"11" "76773" 1275 TRUE TRUE TRUE TRUE
"12" "121627" 1324 TRUE TRUE TRUE TRUE
"13" "1441469" 1326 TRUE TRUE TRUE TRUE
"14" "41413" 1330 TRUE TRUE TRUE TRUE
"15" "395010" 1301 TRUE TRUE TRUE TRUE
"16" "5480" 1264 TRUE TRUE TRUE TRUE
"17" "5579" 1302 TRUE TRUE TRUE TRUE
"18" "5580" 1278 TRUE TRUE TRUE TRUE
"19" "559561" 1266 TRUE TRUE TRUE TRUE
"20" "1042127" 1266 TRUE TRUE TRUE TRUE
"21" "46634" 1298 TRUE TRUE TRUE TRUE
"22" "1504451" 952 FALSE FALSE TRUE TRUE
"23" "64499" 958 FALSE FALSE TRUE TRUE
"24" "284138" 976 FALSE FALSE TRUE TRUE
"25" "1047171" 1326 TRUE TRUE TRUE TRUE
"26" "29002" 1313 TRUE TRUE TRUE TRUE
"27" "438356" 1317 TRUE TRUE TRUE TRUE
"28" "122368" 1293 TRUE TRUE TRUE TRUE
"29" "1873960" 1267 TRUE TRUE TRUE TRUE
"30" "1341201" 1126 FALSE TRUE TRUE TRUE
"31" "112498" 1238 TRUE TRUE TRUE TRUE
"32" "85929" 1295 TRUE TRUE TRUE TRUE
"33" "5499" 1152 FALSE TRUE TRUE TRUE
"34" "245834" 1304 TRUE TRUE TRUE TRUE
"35" "1709381" 1296 TRUE TRUE TRUE TRUE
"36" "237584" 1072 FALSE TRUE TRUE TRUE
"37" "470147" 1162 FALSE TRUE TRUE TRUE
"38" "91943" 977 FALSE FALSE TRUE TRUE
"39" "112489" 1300 TRUE TRUE TRUE TRUE
"40" "286617" 729 FALSE FALSE FALSE FALSE
"41" "5498" 1254 TRUE TRUE TRUE TRUE
"42" "92950" 1300 TRUE TRUE TRUE TRUE
"43" "1707700" 781 FALSE FALSE FALSE FALSE
"44" "29917" 980 FALSE FALSE TRUE TRUE
"45" "1116209" 1012 FALSE FALSE TRUE TRUE
"46" "29918" 1134 FALSE TRUE TRUE TRUE
"47" "1254183" 917 FALSE FALSE FALSE TRUE
"48" "5598" 1312 TRUE TRUE TRUE TRUE
"49" "5599" 1289 TRUE TRUE TRUE TRUE
"50" "156630" 1303 TRUE TRUE TRUE TRUE
"51" "48100" 1296 TRUE TRUE TRUE TRUE
"52" "29001" 1100 FALSE TRUE TRUE TRUE
"53" "33194" 1264 TRUE TRUE TRUE TRUE
"54" "5016" 1300 TRUE TRUE TRUE TRUE
"55" "45130" 1262 TRUE TRUE TRUE TRUE
"56" "101162" 1273 TRUE TRUE TRUE TRUE
"57" "5017" 1315 TRUE TRUE TRUE TRUE
"58" "40125" 1313 TRUE TRUE TRUE TRUE
"59" "74410" 1285 TRUE TRUE TRUE TRUE
"60" "5027" 1319 TRUE TRUE TRUE TRUE
"61" "53485" 1321 TRUE TRUE TRUE TRUE
"62" "45151" 1249 TRUE TRUE TRUE TRUE
"63" "93612" 1306 TRUE TRUE TRUE TRUE
"64" "183478" 992 FALSE FALSE TRUE TRUE
