"taxa_id" "W" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6"
"1" "76775" 1158 TRUE TRUE TRUE TRUE
"2" "76777" 1195 TRUE TRUE TRUE TRUE
"3" "4932" 1157 TRUE TRUE TRUE TRUE
"4" "169388" 1217 TRUE TRUE TRUE TRUE
"5" "231269" 1155 TRUE TRUE TRUE TRUE
"6" "215243" 1156 TRUE TRUE TRUE TRUE
"7" "76773" 1199 TRUE TRUE TRUE TRUE
"8" "121627" 1185 TRUE TRUE TRUE TRUE
"9" "1441469" 1199 TRUE TRUE TRUE TRUE
"10" "41413" 1238 TRUE TRUE TRUE TRUE
"11" "5480" 1163 TRUE TRUE TRUE TRUE
"12" "5579" 1206 TRUE TRUE TRUE TRUE
"13" "5580" 1182 TRUE TRUE TRUE TRUE
"14" "559561" 1153 TRUE TRUE TRUE TRUE
"15" "1042127" 1146 TRUE TRUE TRUE TRUE
"16" "46634" 1202 TRUE TRUE TRUE TRUE
"17" "1504451" 247 FALSE FALSE FALSE FALSE
"18" "61296" 277 FALSE FALSE FALSE FALSE
"19" "1221396" 277 FALSE FALSE FALSE FALSE
"20" "658027" 277 FALSE FALSE FALSE FALSE
"21" "1221393" 277 FALSE FALSE FALSE FALSE
"22" "587467" 277 FALSE FALSE FALSE FALSE
"23" "1620302" 277 FALSE FALSE FALSE FALSE
"24" "1592451" 277 FALSE FALSE FALSE FALSE
"25" "112497" 264 FALSE FALSE FALSE FALSE
"26" "112498" 1153 TRUE TRUE TRUE TRUE
"27" "237584" 239 FALSE FALSE FALSE FALSE
"28" "161662" 277 FALSE FALSE FALSE FALSE
"29" "237585" 1151 TRUE TRUE TRUE TRUE
"30" "470147" 258 FALSE FALSE FALSE FALSE
"31" "5498" 1209 TRUE TRUE TRUE TRUE
"32" "92950" 1228 TRUE TRUE TRUE TRUE
"33" "1707700" 161 FALSE FALSE FALSE FALSE
"34" "29917" 827 FALSE FALSE FALSE TRUE
"35" "1116209" 1137 TRUE TRUE TRUE TRUE
"36" "29918" 220 FALSE FALSE FALSE FALSE
"37" "166633" 258 FALSE FALSE FALSE FALSE
"38" "1338630" 277 FALSE FALSE FALSE FALSE
"39" "5598" 1141 TRUE TRUE TRUE TRUE
"40" "5599" 1164 TRUE TRUE TRUE TRUE
"41" "119927" 268 FALSE FALSE FALSE FALSE
"42" "156630" 1163 TRUE TRUE TRUE TRUE
"43" "160389" 277 FALSE FALSE FALSE FALSE
"44" "48100" 1165 TRUE TRUE TRUE TRUE
"45" "45303" 896 FALSE FALSE TRUE TRUE
"46" "1132468" 277 FALSE FALSE FALSE FALSE
"47" "29001" 265 FALSE FALSE FALSE FALSE
"48" "247034" 277 FALSE FALSE FALSE FALSE
"49" "29911" 255 FALSE FALSE FALSE FALSE
"50" "216837" 245 FALSE FALSE FALSE FALSE
"51" "119956" 220 FALSE FALSE FALSE FALSE
"52" "33194" 1145 TRUE TRUE TRUE TRUE
"53" "5016" 1150 TRUE TRUE TRUE TRUE
"54" "45130" 1156 TRUE TRUE TRUE TRUE
"55" "101162" 1147 TRUE TRUE TRUE TRUE
"56" "5017" 1219 TRUE TRUE TRUE TRUE
"57" "40125" 1213 TRUE TRUE TRUE TRUE
"58" "74410" 1209 TRUE TRUE TRUE TRUE
"59" "5502" 277 FALSE FALSE FALSE FALSE
"60" "5503" 1177 TRUE TRUE TRUE TRUE
"61" "95742" 227 FALSE FALSE FALSE FALSE
"62" "145392" 227 FALSE FALSE FALSE FALSE
"63" "418125" 277 FALSE FALSE FALSE FALSE
"64" "1715225" 277 FALSE FALSE FALSE FALSE
"65" "55170" 277 FALSE FALSE FALSE FALSE
"66" "100019" 1158 TRUE TRUE TRUE TRUE
"67" "749589" 225 FALSE FALSE FALSE FALSE
"68" "37463" 277 FALSE FALSE FALSE FALSE
"69" "1573585" 277 FALSE FALSE FALSE FALSE
"70" "1707701" 160 FALSE FALSE FALSE FALSE
"71" "1828523" 199 FALSE FALSE FALSE FALSE
"72" "137527" 221 FALSE FALSE FALSE FALSE
"73" "73001" 257 FALSE FALSE FALSE FALSE
"74" "1253946" 277 FALSE FALSE FALSE FALSE
"75" "5506" 1180 TRUE TRUE TRUE TRUE
"76" "5127" 1146 TRUE TRUE TRUE TRUE
"77" "117187" 1158 TRUE TRUE TRUE TRUE
"78" "948311" 1187 TRUE TRUE TRUE TRUE
"79" "42677" 198 FALSE FALSE FALSE FALSE
"80" "78861" 277 FALSE FALSE FALSE FALSE
"81" "56646" 1169 TRUE TRUE TRUE TRUE
"82" "5518" 1156 TRUE TRUE TRUE TRUE
"83" "5516" 1161 TRUE TRUE TRUE TRUE
"84" "101028" 1145 TRUE TRUE TRUE TRUE
"85" "5507" 1207 TRUE TRUE TRUE TRUE
"86" "2502994" 1179 TRUE TRUE TRUE TRUE
"87" "2747968" 1166 TRUE TRUE TRUE TRUE
"88" "48486" 1058 FALSE TRUE TRUE TRUE
"89" "29916" 146 FALSE FALSE FALSE FALSE
"90" "40199" 215 FALSE FALSE FALSE FALSE
"91" "152502" 277 FALSE FALSE FALSE FALSE
"92" "5543" 1152 TRUE TRUE TRUE TRUE
"93" "51453" 1174 TRUE TRUE TRUE TRUE
"94" "5544" 1159 TRUE TRUE TRUE TRUE
"95" "101201" 1150 TRUE TRUE TRUE TRUE
"96" "58853" 1159 TRUE TRUE TRUE TRUE
"97" "63577" 1158 TRUE TRUE TRUE TRUE
"98" "29875" 1157 TRUE TRUE TRUE TRUE
"99" "398673" 1161 TRUE TRUE TRUE TRUE
"100" "337941" 221 FALSE FALSE FALSE FALSE
"101" "49224" 206 FALSE FALSE FALSE FALSE
"102" "702381" 277 FALSE FALSE FALSE FALSE
"103" "2768925" 1174 TRUE TRUE TRUE TRUE
"104" "1929498" 277 FALSE FALSE FALSE FALSE
"105" "563466" 1154 TRUE TRUE TRUE TRUE
"106" "5052" 1231 TRUE TRUE TRUE TRUE
"107" "306088" 1218 TRUE TRUE TRUE TRUE
"108" "33178" 1219 TRUE TRUE TRUE TRUE
"109" "5061" 1189 TRUE TRUE TRUE TRUE
"110" "5053" 1194 TRUE TRUE TRUE TRUE
"111" "5059" 1174 TRUE TRUE TRUE TRUE
"112" "5062" 1200 TRUE TRUE TRUE TRUE
"113" "5057" 1211 TRUE TRUE TRUE TRUE
"114" "746128" 1221 TRUE TRUE TRUE TRUE
"115" "36630" 1204 TRUE TRUE TRUE TRUE
"116" "162425" 1212 TRUE TRUE TRUE TRUE
"117" "46472" 1233 TRUE TRUE TRUE TRUE
"118" "319627" 1202 TRUE TRUE TRUE TRUE
"119" "209559" 1202 TRUE TRUE TRUE TRUE
"120" "41959" 1234 TRUE TRUE TRUE TRUE
"121" "41058" 1199 TRUE TRUE TRUE TRUE
"122" "979771" 1209 TRUE TRUE TRUE TRUE
"123" "319626" 1192 TRUE TRUE TRUE TRUE
"124" "1810919" 1206 TRUE TRUE TRUE TRUE
"125" "41067" 1194 TRUE TRUE TRUE TRUE
"126" "51019" 1197 TRUE TRUE TRUE TRUE
"127" "1220188" 1200 TRUE TRUE TRUE TRUE
"128" "301854" 1212 TRUE TRUE TRUE TRUE
"129" "340412" 1199 TRUE TRUE TRUE TRUE
"130" "41047" 1207 TRUE TRUE TRUE TRUE
"131" "61420" 1187 TRUE TRUE TRUE TRUE
"132" "41068" 1199 TRUE TRUE TRUE TRUE
"133" "1191711" 1209 TRUE TRUE TRUE TRUE
"134" "446911" 1208 TRUE TRUE TRUE TRUE
"135" "34381" 1215 TRUE TRUE TRUE TRUE
"136" "288669" 1195 TRUE TRUE TRUE TRUE
"137" "132259" 1185 TRUE TRUE TRUE TRUE
"138" "1196635" 1135 TRUE TRUE TRUE TRUE
"139" "487661" 1170 TRUE TRUE TRUE TRUE
"140" "1506151" 1160 TRUE TRUE TRUE TRUE
"141" "293939" 1204 TRUE TRUE TRUE TRUE
"142" "109264" 1190 TRUE TRUE TRUE TRUE
"143" "1340029" 1153 TRUE TRUE TRUE TRUE
"144" "41061" 1164 TRUE TRUE TRUE TRUE
"145" "1341132" 1156 TRUE TRUE TRUE TRUE
"146" "319630" 1179 TRUE TRUE TRUE TRUE
"147" "319631" 1130 TRUE TRUE TRUE TRUE
"148" "5068" 1207 TRUE TRUE TRUE TRUE
"149" "91492" 277 FALSE FALSE FALSE FALSE
"150" "2741095" 189 FALSE FALSE FALSE FALSE
"151" "1316485" 1129 TRUE TRUE TRUE TRUE
"152" "1405805" 1238 TRUE TRUE TRUE TRUE
"153" "41903" 277 FALSE FALSE FALSE FALSE
"154" "40381" 1216 TRUE TRUE TRUE TRUE
"155" "41724" 222 FALSE FALSE FALSE FALSE
"156" "41282" 218 FALSE FALSE FALSE FALSE
"157" "5073" 1220 TRUE TRUE TRUE TRUE
"158" "1108849" 1200 TRUE TRUE TRUE TRUE
"159" "1835702" 1197 TRUE TRUE TRUE TRUE
"160" "27334" 1188 TRUE TRUE TRUE TRUE
"161" "36651" 1199 TRUE TRUE TRUE TRUE
"162" "69788" 265 FALSE FALSE FALSE FALSE
"163" "36656" 1073 FALSE TRUE TRUE TRUE
"164" "2006157" 277 FALSE FALSE FALSE FALSE
"165" "1032753" 277 FALSE FALSE FALSE FALSE
"166" "1909432" 1232 TRUE TRUE TRUE TRUE
"167" "5081" 1028 FALSE TRUE TRUE TRUE
"168" "36650" 225 FALSE FALSE FALSE FALSE
"169" "60172" 154 FALSE FALSE FALSE FALSE
"170" "5077" 1234 TRUE TRUE TRUE TRUE
"171" "1131482" 247 FALSE FALSE FALSE FALSE
"172" "69781" 1031 FALSE TRUE TRUE TRUE
"173" "5094" 1226 TRUE TRUE TRUE TRUE
"174" "28572" 1174 TRUE TRUE TRUE TRUE
"175" "128442" 1202 TRUE TRUE TRUE TRUE
"176" "37727" 1194 TRUE TRUE TRUE TRUE
"177" "28564" 1200 TRUE TRUE TRUE TRUE
"178" "1266744" 1091 FALSE TRUE TRUE TRUE
"179" "198730" 202 FALSE FALSE FALSE FALSE
"180" "5583" 1209 TRUE TRUE TRUE TRUE
"181" "91925" 1163 TRUE TRUE TRUE TRUE
"182" "348802" 1153 TRUE TRUE TRUE TRUE
"183" "212818" 1141 TRUE TRUE TRUE TRUE
"184" "1033840" 1158 TRUE TRUE TRUE TRUE
"185" "91928" 1159 TRUE TRUE TRUE TRUE
"186" "5970" 1151 TRUE TRUE TRUE TRUE
"187" "5584" 947 FALSE FALSE TRUE TRUE
"188" "4930" 1171 TRUE TRUE TRUE TRUE
"189" "27291" 1183 TRUE TRUE TRUE TRUE
"190" "1987369" 1172 TRUE TRUE TRUE TRUE
"191" "114524" 1163 TRUE TRUE TRUE TRUE
"192" "27292" 1135 TRUE TRUE TRUE TRUE
"193" "1080349" 1190 TRUE TRUE TRUE TRUE
"194" "4931" 173 FALSE FALSE FALSE FALSE
"195" "706196" 209 FALSE FALSE FALSE FALSE
"196" "230603" 909 FALSE FALSE TRUE TRUE
"197" "28985" 1147 TRUE TRUE TRUE TRUE
"198" "4911" 1157 TRUE TRUE TRUE TRUE
"199" "48254" 1151 TRUE TRUE TRUE TRUE
"200" "4950" 1179 TRUE TRUE TRUE TRUE
"201" "35629" 271 FALSE FALSE FALSE FALSE
"202" "1535326" 1149 TRUE TRUE TRUE TRUE
"203" "5476" 1154 TRUE TRUE TRUE TRUE
"204" "5482" 1168 TRUE TRUE TRUE TRUE
"205" "42374" 1154 TRUE TRUE TRUE TRUE
"206" "273371" 1152 TRUE TRUE TRUE TRUE
"207" "5479" 191 FALSE FALSE FALSE FALSE
"208" "497108" 1122 TRUE TRUE TRUE TRUE
"209" "536035" 214 FALSE FALSE FALSE FALSE
"210" "273372" 156 FALSE FALSE FALSE FALSE
"211" "4958" 1107 FALSE TRUE TRUE TRUE
"212" "4959" 1086 FALSE TRUE TRUE TRUE
"213" "58627" 1146 TRUE TRUE TRUE TRUE
"214" "28555" 209 FALSE FALSE FALSE FALSE
"215" "522358" 277 FALSE FALSE FALSE FALSE
"216" "604195" 1227 TRUE TRUE TRUE TRUE
"217" "4903" 1200 TRUE TRUE TRUE TRUE
"218" "36022" 1150 TRUE TRUE TRUE TRUE
"219" "1004253" 214 FALSE FALSE FALSE FALSE
"220" "36016" 1027 FALSE TRUE TRUE TRUE
"221" "312227" 1160 TRUE TRUE TRUE TRUE
"222" "1853550" 243 FALSE FALSE FALSE FALSE
"223" "4919" 1189 TRUE TRUE TRUE TRUE
"224" "4909" 1156 TRUE TRUE TRUE TRUE
"225" "4926" 1194 TRUE TRUE TRUE TRUE
"226" "29833" 239 FALSE FALSE FALSE FALSE
"227" "5010" 208 FALSE FALSE FALSE FALSE
"228" "5012" 185 FALSE FALSE FALSE FALSE
"229" "5327" 1190 TRUE TRUE TRUE TRUE
"230" "5325" 1143 TRUE TRUE TRUE TRUE
"231" "1134054" 1196 TRUE TRUE TRUE TRUE
"232" "5319" 271 FALSE FALSE FALSE FALSE
"233" "5341" 1157 TRUE TRUE TRUE TRUE
"234" "1843316" 277 FALSE FALSE FALSE FALSE
"235" "5206" 1155 TRUE TRUE TRUE TRUE
"236" "5207" 1198 TRUE TRUE TRUE TRUE
"237" "37769" 1170 TRUE TRUE TRUE TRUE
"238" "1859096" 1149 TRUE TRUE TRUE TRUE
"239" "5619" 1162 TRUE TRUE TRUE TRUE
"240" "104669" 1186 TRUE TRUE TRUE TRUE
"241" "234950" 164 FALSE FALSE FALSE FALSE
"242" "602025" 269 FALSE FALSE FALSE FALSE
"243" "5552" 183 FALSE FALSE FALSE FALSE
"244" "82508" 1151 TRUE TRUE TRUE TRUE
"245" "82524" 720 FALSE FALSE FALSE FALSE
"246" "696254" 277 FALSE FALSE FALSE FALSE
"247" "5412" 225 FALSE FALSE FALSE FALSE
"248" "1851509" 277 FALSE FALSE FALSE FALSE
"249" "100951" 216 FALSE FALSE FALSE FALSE
"250" "92952" 277 FALSE FALSE FALSE FALSE
"251" "92953" 277 FALSE FALSE FALSE FALSE
"252" "104416" 277 FALSE FALSE FALSE FALSE
"253" "104409" 277 FALSE FALSE FALSE FALSE
"254" "55193" 1189 TRUE TRUE TRUE TRUE
"255" "55194" 1169 TRUE TRUE TRUE TRUE
"256" "77020" 1187 TRUE TRUE TRUE TRUE
"257" "223818" 171 FALSE FALSE FALSE FALSE
"258" "5533" 1207 TRUE TRUE TRUE TRUE
"259" "29898" 1157 TRUE TRUE TRUE TRUE
"260" "5286" 1165 TRUE TRUE TRUE TRUE
"261" "5535" 186 FALSE FALSE FALSE FALSE
"262" "5537" 1179 TRUE TRUE TRUE TRUE
"263" "741276" 1226 TRUE TRUE TRUE TRUE
"264" "86837" 233 FALSE FALSE FALSE FALSE
"265" "40563" 179 FALSE FALSE FALSE FALSE
"266" "5002" 227 FALSE FALSE FALSE FALSE
"267" "245174" 3 FALSE FALSE FALSE FALSE
"268" "1708541" 1204 TRUE TRUE TRUE TRUE
"269" "1708542" 245 FALSE FALSE FALSE FALSE
"270" "58291" 1232 TRUE TRUE TRUE TRUE
"271" "86630" 238 FALSE FALSE FALSE FALSE
"272" "658196" 182 FALSE FALSE FALSE FALSE
"273" "45796" 911 FALSE FALSE TRUE TRUE
"274" "50059" 255 FALSE FALSE FALSE FALSE
"275" "120644" 245 FALSE FALSE FALSE FALSE
"276" "1249520" 277 FALSE FALSE FALSE FALSE
"277" "694268" 247 FALSE FALSE FALSE FALSE
