"taxa_id" "W" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6"
"1" "76775" 0 FALSE FALSE FALSE FALSE
"2" "76777" Inf TRUE TRUE TRUE TRUE
"3" "4932" Inf TRUE TRUE TRUE TRUE
"4" "169388" Inf TRUE TRUE TRUE TRUE
"5" "231269" Inf TRUE TRUE TRUE TRUE
"6" "215243" 0 FALSE FALSE FALSE FALSE
"7" "5529" Inf TRUE TRUE TRUE TRUE
"8" "31870" Inf TRUE TRUE TRUE TRUE
"9" "44092" Inf TRUE TRUE TRUE TRUE
"10" "49012" Inf TRUE TRUE TRUE TRUE
"11" "76773" Inf TRUE TRUE TRUE TRUE
"12" "121627" Inf TRUE TRUE TRUE TRUE
"13" "1441469" Inf TRUE TRUE TRUE TRUE
"14" "41413" Inf TRUE TRUE TRUE TRUE
"15" "395010" Inf TRUE TRUE TRUE TRUE
"16" "5480" Inf TRUE TRUE TRUE TRUE
"17" "5579" Inf TRUE TRUE TRUE TRUE
"18" "5580" Inf TRUE TRUE TRUE TRUE
"19" "559561" Inf TRUE TRUE TRUE TRUE
"20" "1042127" Inf TRUE TRUE TRUE TRUE
"21" "46634" Inf TRUE TRUE TRUE TRUE
"22" "64499" Inf TRUE TRUE TRUE TRUE
"23" "1047171" Inf TRUE TRUE TRUE TRUE
"24" "29002" Inf TRUE TRUE TRUE TRUE
"25" "438356" Inf TRUE TRUE TRUE TRUE
"26" "122368" Inf TRUE TRUE TRUE TRUE
"27" "1873960" Inf TRUE TRUE TRUE TRUE
"28" "1341201" Inf TRUE TRUE TRUE TRUE
"29" "112498" Inf TRUE TRUE TRUE TRUE
"30" "85929" Inf TRUE TRUE TRUE TRUE
"31" "5499" Inf TRUE TRUE TRUE TRUE
"32" "245834" Inf TRUE TRUE TRUE TRUE
"33" "1709381" Inf TRUE TRUE TRUE TRUE
"34" "237584" Inf TRUE TRUE TRUE TRUE
"35" "470147" Inf TRUE TRUE TRUE TRUE
"36" "91943" Inf TRUE TRUE TRUE TRUE
"37" "112489" Inf TRUE TRUE TRUE TRUE
"38" "286617" Inf TRUE TRUE TRUE TRUE
"39" "5498" Inf TRUE TRUE TRUE TRUE
"40" "92950" Inf TRUE TRUE TRUE TRUE
"41" "1707700" Inf TRUE TRUE TRUE TRUE
"42" "29917" Inf TRUE TRUE TRUE TRUE
"43" "1116209" Inf TRUE TRUE TRUE TRUE
"44" "29918" Inf TRUE TRUE TRUE TRUE
"45" "5598" Inf TRUE TRUE TRUE TRUE
"46" "5599" Inf TRUE TRUE TRUE TRUE
"47" "156630" Inf TRUE TRUE TRUE TRUE
"48" "48100" Inf TRUE TRUE TRUE TRUE
"49" "29001" Inf TRUE TRUE TRUE TRUE
"50" "33194" Inf TRUE TRUE TRUE TRUE
"51" "5016" Inf TRUE TRUE TRUE TRUE
"52" "45130" Inf TRUE TRUE TRUE TRUE
"53" "101162" Inf TRUE TRUE TRUE TRUE
"54" "5017" Inf TRUE TRUE TRUE TRUE
"55" "40125" Inf TRUE TRUE TRUE TRUE
"56" "74410" Inf TRUE TRUE TRUE TRUE
"57" "5027" Inf TRUE TRUE TRUE TRUE
"58" "53485" Inf TRUE TRUE TRUE TRUE
"59" "45151" Inf TRUE TRUE TRUE TRUE
"60" "93612" Inf TRUE TRUE TRUE TRUE
"61" "183478" Inf TRUE TRUE TRUE TRUE
"62" "235069" Inf TRUE TRUE TRUE TRUE
"63" "5503" Inf TRUE TRUE TRUE TRUE
"64" "220672" Inf TRUE TRUE TRUE TRUE
"65" "5022" Inf TRUE TRUE TRUE TRUE
"66" "100019" Inf TRUE TRUE TRUE TRUE
"67" "749589" Inf TRUE TRUE TRUE TRUE
"68" "301207" Inf TRUE TRUE TRUE TRUE
"69" "749586" Inf TRUE TRUE TRUE TRUE
"70" "5454" Inf TRUE TRUE TRUE TRUE
"71" "1707701" Inf TRUE TRUE TRUE TRUE
"72" "13684" Inf TRUE TRUE TRUE TRUE
"73" "1077358" Inf TRUE TRUE TRUE TRUE
"74" "390896" Inf TRUE TRUE TRUE TRUE
"75" "1460663" Inf TRUE TRUE TRUE TRUE
"76" "565426" Inf TRUE TRUE TRUE TRUE
"77" "548649" Inf TRUE TRUE TRUE TRUE
"78" "1450171" Inf TRUE TRUE TRUE TRUE
"79" "318751" Inf TRUE TRUE TRUE TRUE
"80" "673940" Inf TRUE TRUE TRUE TRUE
"81" "1547544" Inf TRUE TRUE TRUE TRUE
"82" "224420" Inf TRUE TRUE TRUE TRUE
"83" "665115" Inf TRUE TRUE TRUE TRUE
"84" "50376" Inf TRUE TRUE TRUE TRUE
"85" "253628" Inf TRUE TRUE TRUE TRUE
"86" "574789" Inf TRUE TRUE TRUE TRUE
"87" "45133" Inf TRUE TRUE TRUE TRUE
"88" "236234" Inf TRUE TRUE TRUE TRUE
"89" "120395" Inf TRUE TRUE TRUE TRUE
"90" "462254" Inf TRUE TRUE TRUE TRUE
"91" "1986016" Inf TRUE TRUE TRUE TRUE
"92" "286661" Inf TRUE TRUE TRUE TRUE
"93" "470096" Inf TRUE TRUE TRUE TRUE
"94" "1341166" Inf TRUE TRUE TRUE TRUE
"95" "61459" Inf TRUE TRUE TRUE TRUE
"96" "2488734" Inf TRUE TRUE TRUE TRUE
