"taxa_id" "W" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6"
"1" "76775" 368 FALSE FALSE FALSE TRUE
"2" "76777" 323 FALSE FALSE FALSE FALSE
"3" "4932" 0 FALSE FALSE FALSE FALSE
"4" "169388" Inf TRUE TRUE TRUE TRUE
"5" "231269" 279 FALSE FALSE FALSE FALSE
"6" "215243" 282 FALSE FALSE FALSE FALSE
"7" "5529" 10 FALSE FALSE FALSE FALSE
"8" "31870" 383 FALSE FALSE TRUE TRUE
"9" "44092" 0 FALSE FALSE FALSE FALSE
"10" "49012" 295 FALSE FALSE FALSE FALSE
"11" "76773" 0 FALSE FALSE FALSE FALSE
"12" "121627" 0 FALSE FALSE FALSE FALSE
"13" "1441469" 0 FALSE FALSE FALSE FALSE
"14" "41413" 0 FALSE FALSE FALSE FALSE
"15" "395010" 421 FALSE FALSE TRUE TRUE
"16" "5480" 0 FALSE FALSE FALSE FALSE
"17" "5579" 0 FALSE FALSE FALSE FALSE
"18" "5580" 0 FALSE FALSE FALSE FALSE
"19" "559561" 0 FALSE FALSE FALSE FALSE
"20" "1042127" 0 FALSE FALSE FALSE FALSE
"21" "46634" Inf TRUE TRUE TRUE TRUE
"22" "64499" Inf TRUE TRUE TRUE TRUE
"23" "1047171" 390 FALSE FALSE TRUE TRUE
"24" "29002" 166 FALSE FALSE FALSE FALSE
"25" "438356" 0 FALSE FALSE FALSE FALSE
"26" "122368" 280 FALSE FALSE FALSE FALSE
"27" "1873960" 0 FALSE FALSE FALSE FALSE
"28" "1341201" Inf TRUE TRUE TRUE TRUE
"29" "112498" 0 FALSE FALSE FALSE FALSE
"30" "85929" 285 FALSE FALSE FALSE FALSE
"31" "5499" 1 FALSE FALSE FALSE FALSE
"32" "245834" 401 FALSE FALSE TRUE TRUE
"33" "1709381" 0 FALSE FALSE FALSE FALSE
"34" "237584" Inf TRUE TRUE TRUE TRUE
"35" "470147" Inf TRUE TRUE TRUE TRUE
"36" "91943" Inf TRUE TRUE TRUE TRUE
"37" "112489" 329 FALSE FALSE FALSE TRUE
"38" "286617" 0 FALSE FALSE FALSE FALSE
"39" "5498" 0 FALSE FALSE FALSE FALSE
"40" "92950" Inf TRUE TRUE TRUE TRUE
"41" "1707700" 0 FALSE FALSE FALSE FALSE
"42" "29917" Inf TRUE TRUE TRUE TRUE
"43" "1116209" Inf TRUE TRUE TRUE TRUE
"44" "29918" Inf TRUE TRUE TRUE TRUE
"45" "5598" 120 FALSE FALSE FALSE FALSE
"46" "5599" 404 FALSE FALSE TRUE TRUE
"47" "156630" 0 FALSE FALSE FALSE FALSE
"48" "48100" 316 FALSE FALSE FALSE FALSE
"49" "29001" 1 FALSE FALSE FALSE FALSE
"50" "33194" 0 FALSE FALSE FALSE FALSE
"51" "5016" 0 FALSE FALSE FALSE FALSE
"52" "45130" 0 FALSE FALSE FALSE FALSE
"53" "101162" 0 FALSE FALSE FALSE FALSE
"54" "5017" 0 FALSE FALSE FALSE FALSE
"55" "40125" 82 FALSE FALSE FALSE FALSE
"56" "74410" Inf TRUE TRUE TRUE TRUE
"57" "5027" 0 FALSE FALSE FALSE FALSE
"58" "53485" 0 FALSE FALSE FALSE FALSE
"59" "45151" 0 FALSE FALSE FALSE FALSE
"60" "93612" 0 FALSE FALSE FALSE FALSE
"61" "183478" 0 FALSE FALSE FALSE FALSE
"62" "235069" Inf TRUE TRUE TRUE TRUE
"63" "5503" Inf TRUE TRUE TRUE TRUE
