"taxa_id" "W" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6"
"1" "45796" 10 FALSE FALSE TRUE TRUE
"2" "50059" 7 FALSE FALSE FALSE FALSE
"3" "2170304" 8 FALSE FALSE FALSE TRUE
"4" "4758" 12 TRUE TRUE TRUE TRUE
"5" "4757" 11 FALSE TRUE TRUE TRUE
"6" "2078661" 11 FALSE TRUE TRUE TRUE
"7" "48250" 10 FALSE FALSE TRUE TRUE
"8" "301046" 13 TRUE TRUE TRUE TRUE
"9" "4756" 13 TRUE TRUE TRUE TRUE
"10" "4823" 8 FALSE FALSE FALSE TRUE
"11" "73868" 12 TRUE TRUE TRUE TRUE
"12" "324620" 8 FALSE FALSE FALSE TRUE
"13" "1764037" 9 FALSE FALSE FALSE TRUE
"14" "99929" 9 FALSE FALSE FALSE TRUE
