"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","blank vs Svalbard",1,1.30074352566014,3.23186423868466,0.128086621270325,0.001,0.028,"."
"2","blank vs mountain",1,2.43877536075633,7.57063060200978,0.2476439135512,0.001,0.028,"."
"3","blank vs wild",1,2.92424892534647,9.39523937459175,0.273155225706385,0.001,0.028,"."
"4","blank vs tame",1,1.54157169964638,4.22088925297678,0.174266485796265,0.001,0.028,"."
"5","blank vs pre-historic",1,2.27078026434533,6.69941270517637,0.233433790927995,0.001,0.028,"."
"6","blank vs forest",1,0.729634568126311,1.76020805798043,0.0890784172320262,0.035,0.98,""
"7","blank vs ",1,0.291575465904303,0.685559347820488,0.0387637922181395,1,1,""
"8","Svalbard vs mountain",1,0.65618455751883,4.00328172188572,0.26682707130974,0.001,0.028,"."
"9","Svalbard vs wild",1,0.432930354892717,2.58752188567479,0.1659995671315,0.003,0.084,""
"10","Svalbard vs tame",1,0.612499856909369,2.88510184921506,0.265050514839519,0.006,0.168,""
"11","Svalbard vs pre-historic",1,0.366552934280441,1.9804689158947,0.165308130240811,0.03,0.84,""
"12","Svalbard vs forest",1,0.200442782594865,0.648268933192915,0.0975094328624843,0.911,1,""
"13","Svalbard vs ",1,0.608562503558232,1.87345978135524,0.272564303996822,0.29,1,""
"14","mountain vs wild",1,0.96681464758215,18.5471418586325,0.569854703039408,0.001,0.028,"."
"15","mountain vs tame",1,0.195831087501857,6.9643111405087,0.436242508631461,0.004,0.112,""
"16","mountain vs pre-historic",1,0.657302384882845,17.8292213085122,0.618442694574199,0.002,0.056,""
"17","mountain vs forest",1,0.107846049628129,1.84183557096093,0.208309186048431,0.188,1,""
"18","mountain vs ",1,0.841791454407838,28.2384395719043,0.824758368809438,0.132,1,""
"19","wild vs tame",1,0.756086339338668,13.3042361725538,0.547404003075726,0.001,0.028,"."
"20","wild vs pre-historic",1,0.10600029517457,1.77213630851002,0.119964795307847,0.013,0.364,""
"21","wild vs forest",1,0.207356211758206,2.38664375830587,0.209600283364003,0.135,1,""
"22","wild vs ",1,0.820265584046082,11.9111441716576,0.598214952840955,0.087,1,""
"23","tame vs pre-historic",1,0.644843384310709,17.1453054179198,0.681849161621286,0.005,0.14,""
"24","tame vs forest",1,0.0889334403108292,1.16547440436426,0.225627757129056,0.333333333333333,1,""
"25","tame vs ",1,0.774570810146064,31.3116725542233,0.912566197545192,0.2,1,""
"26","pre-historic vs forest",1,0.18348036686973,2.40532282825841,0.286166620533812,0.073,1,""
"27","pre-historic vs ",1,0.792738054978937,17.4864880006278,0.777644245741692,0.149,1,""
"28","forest vs ",1,0.577757946562559,2.50096250848743,0.714364264805554,0.333333333333333,1,""
